"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000131711",12131.7083399859,2.08383199747551,0.107647924959272,19.3578464077586,1.7505214501059e-83,8.97174660243167e-81
"ENSG00000198763",97439.5163863917,-1.87606157101573,0.0970758838342694,-19.3257222794756,3.26383792635682e-83,1.61303532946163e-80
"ENSG00000176171",14128.8063443486,2.05908653096748,0.107590144137233,19.1382449338583,1.21287199975758e-81,5.78749059746391e-79
"ENSG00000149925",3107.69813067174,2.28985700453525,0.122003360208474,18.7688027659438,1.35914024205479e-78,6.2692608898514e-76
"ENSG00000196968",746.559779476886,2.70595600152522,0.148525151300019,18.2188402290143,3.6582660935509e-74,1.63300278072766e-71
"ENSG00000293570",999.090591445351,-2.48073102377395,0.138069036052527,-17.9673234108057,3.51258172157845e-72,1.51897205822508e-69
"ENSG00000114023",13102.7095400533,1.82029594752259,0.101853824309746,17.8716504741827,1.96105472764652e-71,8.22335615793107e-69
"ENSG00000104765",16122.5842533522,2.12098962845421,0.119560614711862,17.739868882121,2.06416100300352e-70,8.40113528222433e-68
"ENSG00000134107",1488.77680536077,2.37995192304627,0.134353923806431,17.7140485042711,3.26705202076867e-70,1.29169902466848e-67
"ENSG00000124766",6890.29127672986,1.86511160530746,0.106410925685188,17.5274446049395,8.84565115656883e-69,3.40017001957221e-66
"ENSG00000163516",3612.09136434222,1.85391964162457,0.106402671567619,17.4236192974384,5.46107819130945e-68,2.04244324354973e-65
"ENSG00000129521",1118.33567391765,2.55996515061485,0.149122679629578,17.1668397924034,4.70340159450285e-66,1.71278082275606e-63
"ENSG00000168461",285.71105844277,4.00163999384742,0.233327650671862,17.150303370924,6.25252051604429e-66,2.21852253592361e-63
"ENSG00000172175",9547.00905334989,2.3579259975989,0.13757561343957,17.1391276306002,7.57790699357925e-66,2.62157692442874e-63
"ENSG00000067057",3806.8673865766,1.97163515278055,0.115588733920249,17.0573297752433,3.08330541223974e-65,1.04065317791643e-62
"ENSG00000154734",16571.8989585618,1.89184430762619,0.111054396210498,17.0352941637744,4.49475902892378e-65,1.48091608195827e-62
"ENSG00000100906",4244.44027349872,1.91526451593636,0.112687933300643,16.9961810447492,8.764712018593e-65,2.82060662589046e-62
"ENSG00000154478",215.65937112418,6.25600154547165,0.371345198540571,16.84686262286,1.10630103982884e-63,3.47931677026171e-61
"ENSG00000198727",130870.922466689,-1.58182502965202,0.0963775200699347,-16.412800708134,1.54892436556547e-60,4.76311452682112e-58
"ENSG00000196091",581.245368177097,2.79183391284133,0.170165254224021,16.4066038367968,1.71536249650017e-60,5.16025787534116e-58
