"","LNCAP_Hypoxia_S1","LNCAP_Hypoxia_S2","LNCAP_Normoxia_S1","LNCAP_Normoxia_S2","PC3_Hypoxia_S1","PC3_Hypoxia_S2","PC3_Normoxia_S1","PC3_Normoxia_S2"
"ENSG00000151117",153.709778967119,132.576820972777,76.3090653752996,86.3693772778066,1.26062317560648,3.56659140139059,2.98451549298305,8.95846468584586
"ENSG00000151131",338.161513727662,320.673177082168,595.10091271097,574.772860970581,315.155793901619,306.72686051959,522.290211272034,574.461547979866
"ENSG00000151135",1413.03203950487,1421.97016285242,1379.6020236556,1246.87568009179,2151.88376076026,2172.05416344687,1274.38811550376,1234.02851047527
"ENSG00000151136",51.053605156936,45.4685848101581,25.2533597644876,22.7980082154616,1115.65151041173,1205.50789367002,1477.33516902661,1689.79040136768
"ENSG00000151148",1039.7368620133,1052.95670086682,1405.95335558376,1403.83119819054,1270.70816101133,1476.5688401757,1307.21778592658,1203.79369216054
"ENSG00000151150",4208.35416272119,4052.44744829062,6631.75186858719,5948.52645129584,1331.21807344044,1134.17606564221,1629.54545916875,1739.06195713983
"ENSG00000151151",255.26802578468,239.786957788308,252.533597644876,206.497343643893,2869.17834768034,2767.6749274791,799.850152119458,858.892801755472
"ENSG00000151164",31.2909192897349,32.0673177082168,34.0371370738746,24.5517011551125,27.7337098633425,35.6659140139059,35.8141859157966,31.3546264004605
"ENSG00000151176",3768.08543867966,3327.82179142136,3414.14444294236,3860.75500664145,2410.31151175958,2236.2528086719,1784.74026480386,2315.76312129115
"ENSG00000151208",3507.32777793187,3518.31123094181,2680.69903760855,2466.56911961898,1022.36539541685,1091.37696882552,1366.90809578624,1235.148318561
"ENSG00000151224",25.8012843266235,22.9736007461852,45.5658447924451,66.640331706734,0,0,0,0
"ENSG00000151229",47.7598241790691,55.0409184544019,45.5658447924451,58.3102902433923,742.507050432215,631.286678046134,486.476025356237,449.043042378024
"ENSG00000151233",774.038529798706,752.864041119776,959.62767105053,761.102735808489,1353.90929060136,1287.539495902,1068.45654648793,1103.01096444477
